('19.3', '3', '1010.5', 'pywierden')
('3.9', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('4.5', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.1', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.2', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.0', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.1', '3', '1010.5', 'pywierden')
('5.1', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '3', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.3', '3', '1010.5', 'pywierden')
('5.5', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.2', '3', '1011.0', 'pywierden')
('5.8', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '4', '1011.0', 'pywierden')
('4.8', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('4.2', '0', '1008.5', 'pygarage')
('19.2', '3', '1010.5', 'pywierden')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('5.0', '0', '1008.5', 'pygarage')
('19.1', '4', '1011.0', 'pywierden')
('24.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('4.9', '0', '1008.5', 'pygarage')
('19.0', '3', '1011.0', 'pywierden')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('4.5', '0', '1008.5', 'pygarage')
('19.0', '3', '1011.0', 'pywierden')
('3.7', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.1', '4', '1011.0', 'pywierden')
('3.2', '0', '1009.0', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.1', '4', '1011.0', 'pywierden')
('4.1', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1011.0', 'pywierden')
('3.3', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.0', '3', '1011.0', 'pywierden')
('3.2', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('3.5', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('2.6', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '3', '1011.0', 'pywierden')
('2.7', '0', '1009.0', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('2.2', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('1.2', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('1.3', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('1.7', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('2.1', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('3.3', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('0.5', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('0.3', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('0.1', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('0.4', '0', '1009.0', 'pygarage')
('18.7', '4', '1011.0', 'pywierden')
('24.3', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('0.7', '0', '1009.0', 'pygarage')
('18.6', '4', '1011.0', 'pywierden')
('24.3', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('1.3', '0', '1009.0', 'pygarage')
('18.8', '4', '1011.0', 'pywierden')
('24.2', '0', '1006.5', 'pysaxion')
('2.0', '1', '1009.0', 'pygarage')
('-4.3', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('2.5', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('3.0', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
